record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
3,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
6,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
11,No,No,No,15 years old,Male,0 times,1 time,Never,3 or more,3 to 5 days,Most of the time,Always,No,Yes,No,No,No
23,No,No,Yes,13 years old,Male,0 times,2 or 3 times,Most of the time,3 or more,0 days,Rarely,Always,Yes,No,No,No,No
24,No,No,No,14 years old,Male,0 times,2 or 3 times,Most of the time,2,0 days,Always,Sometimes,Yes,No,No,Yes,Yes
32,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
34,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
38,No,No,No,13 years old,Male,0 times,8 or 9 times,Rarely,3 or more,10 or more days,Always,Rarely,No,Yes,No,No,No
40,No,No,Yes,13 years old,Female,0 times,1 time,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
42,Yes,No,Yes,13 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
43,Yes,No,No,15 years old,Male,1 time,0 times,Never,3 or more,0 days,Never,Sometimes,No,No,No,No,No
44,No,No,No,14 years old,Female,1 time,0 times,Never,3 or more,1 or 2 days,Always,Always,No,Yes,No,Yes,No
46,Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Always,No,No,No,No,No
48,No,No,No,15 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,No,No
49,No,No,Yes,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
50,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
51,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
53,No,Yes,Yes,14 years old,Female,0 times,2 or 3 times,Rarely,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,Yes,No
55,No,Yes,Yes,16 years old,Male,4 or 5 times,2 or 3 times,Most of the time,0,10 or more days,Sometimes,Always,Yes,Yes,No,No,No
57,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,Yes,No,No
58,No,No,No,15 years old,Male,0 times,4 or 5 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
59,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,10 or more days,Most of the time,Always,No,Yes,No,No,No
60,Yes,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
61,No,No,Yes,15 years old,Female,0 times,0 times,Always,3 or more,0 days,Sometimes,Most of the time,Yes,No,No,No,No
62,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
65,No,Yes,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Always,Yes,No,No,Yes,No
67,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
70,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,Yes,Yes
74,No,No,No,16 years old,Male,0 times,0 times,Never,2,0 days,Most of the time,Always,No,No,No,No,No
76,No,No,No,16 years old,Female,0 times,0 times,Sometimes,2,0 days,Sometimes,Sometimes,No,No,No,No,No
77,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,No,No
78,No,Yes,Yes,14 years old,Female,0 times,0 times,Always,3 or more,1 or 2 days,Rarely,Rarely,Yes,Yes,No,No,No
79,No,No,Yes,15 years old,Male,0 times,0 times,Always,3 or more,0 days,Always,Never,Yes,No,No,No,No
80,No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Never,No,No,No,No,No
81,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
82,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,Yes,No
85,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,Yes,No
88,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,No,Yes,No
89,No,No,No,15 years old,Female,0 times,0 times,Most of the time,1,0 days,Sometimes,Always,Yes,No,No,No,No
95,No,No,Yes,17 years old,Male,1 time,1 time,Sometimes,2,0 days,Sometimes,Most of the time,No,No,No,No,No
97,Yes,Yes,Yes,16 years old,Female,1 time,1 time,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,No,No
99,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
100,No,No,No,16 years old,Male,0 times,0 times,Never,1,10 or more days,Rarely,Never,No,Yes,No,No,No
106,No,No,No,17 years old,Female,0 times,0 times,Most of the time,2,6 to 9 days,Rarely,Always,Yes,Yes,No,No,No
107,No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,Yes
110,No,No,No,17 years old,Female,0 times,2 or 3 times,Always,1,0 days,Sometimes,Never,Yes,No,No,No,No
