bullied_in_school,bullied_outside_school,cyberbullied,age,sex,physically_attacked,physical_fighting,felt_lonely,close_friends,miss_school_no_permission,other_students_kind_and_helpful,parents_understand_problems,were_underweight,were_overweight,were_obese
0,0,0,14,0,0,0,0,3,0,2,4,0,0,0
0,0,0,13,0,0,1,0,3,0,3,4,0,0,0
0,0,0,15,0,0,1,0,3,2,3,4,0,0,0
0,0,1,13,0,0,2,3,3,0,1,4,0,0,0
0,0,0,14,0,0,2,3,2,0,4,2,0,1,1
0,0,0,13,1,0,0,0,3,0,3,4,0,0,0
0,0,0,14,1,0,0,0,3,0,4,4,0,0,0
0,0,0,13,0,0,5,1,3,4,4,1,0,0,0
0,0,1,13,1,0,1,1,3,0,3,3,0,0,0
1,0,1,13,0,0,1,1,3,0,3,3,0,1,0
1,0,0,15,0,1,0,0,3,0,0,2,0,0,0
0,0,0,14,1,1,0,0,3,1,4,4,0,1,0
1,0,0,13,1,0,0,2,3,0,1,4,0,0,0
0,0,0,15,1,1,0,2,3,0,2,4,0,0,0
0,0,1,14,1,0,0,1,3,0,2,2,0,0,0
0,0,0,16,0,0,0,1,3,0,2,4,0,0,0
0,0,0,16,0,0,0,0,3,0,3,2,0,0,0
0,1,1,14,1,0,2,1,3,1,2,3,0,1,0
0,1,1,16,0,3,2,3,0,4,2,4,0,0,0
0,0,0,15,0,0,0,1,3,0,1,1,1,0,0
0,0,0,15,0,0,3,1,3,0,3,4,0,0,0
0,0,0,16,0,0,2,0,3,4,3,4,0,0,0
1,0,0,15,1,0,0,1,3,0,3,2,0,0,0
0,0,1,15,1,0,0,4,3,0,2,3,0,0,0
0,0,0,15,1,0,0,2,3,0,3,2,0,0,0
0,1,0,16,1,0,0,3,3,0,3,4,0,1,0
0,0,0,15,1,0,0,2,3,0,2,4,0,1,1
0,0,0,16,0,0,0,0,2,0,3,4,0,0,0
0,0,0,16,1,0,0,2,2,0,2,2,0,0,0
0,0,0,15,1,0,0,0,3,0,4,2,0,0,0
0,1,1,14,1,0,0,4,3,1,1,1,0,0,0
0,0,1,15,0,0,0,4,3,0,4,0,0,0,0
0,0,0,17,1,0,0,0,3,0,4,0,0,0,0
0,0,0,16,0,0,0,2,3,0,3,2,0,0,0
0,0,0,15,1,0,0,2,3,0,3,0,0,1,0
0,0,0,15,1,0,0,1,3,0,2,2,0,1,0
0,0,0,15,0,0,0,1,3,0,1,1,0,1,0
0,0,0,15,1,0,0,3,1,0,2,4,0,0,0
0,0,1,17,0,1,1,2,2,0,2,3,0,0,0
1,1,1,16,1,1,1,2,3,0,2,4,0,0,0
0,0,0,16,0,0,0,2,3,0,1,3,0,0,0
0,0,0,16,0,0,0,0,1,4,1,0,0,0,0
0,0,0,17,1,0,0,3,2,3,1,4,0,0,0
0,0,1,15,1,0,0,2,3,0,2,1,0,1,1
0,0,0,17,1,0,2,4,1,0,2,0,0,0,0
0,1,1,17,0,1,1,0,1,4,2,3,0,0,0
0,0,0,13,1,0,0,1,3,0,3,2,0,0,0
1,0,0,12,0,0,0,1,2,0,2,0,0,1,0
0,0,0,13,0,1,1,1,3,0,1,2,0,0,0
0,0,0,13,0,0,0,0,3,0,4,4,0,1,0
1,0,0,13,1,0,0,2,3,0,2,2,0,0,0
1,0,0,13,1,0,0,1,3,0,2,4,0,0,0
0,0,0,14,0,0,0,2,3,0,1,3,1,0,0
0,0,0,13,0,0,3,0,3,0,3,0,0,1,1
1,1,1,13,1,0,0,3,1,0,4,4,0,1,0
1,0,1,13,1,0,0,4,1,1,2,0,0,1,0
0,1,1,13,0,0,1,0,3,1,3,4,0,1,0
0,1,0,14,0,0,3,0,3,3,3,1,0,1,0
1,0,1,13,1,1,0,3,2,0,3,0,0,0,0
1,1,1,14,1,6,1,4,3,0,2,3,0,0,0
0,0,0,13,0,0,3,0,3,1,1,2,0,1,0
1,0,1,13,1,0,0,1,3,0,2,4,0,0,0
0,1,1,13,1,0,1,2,3,0,2,2,0,0,0
0,0,0,13,0,0,4,0,3,0,3,3,0,1,0
0,0,1,13,0,1,2,1,3,0,2,2,1,0,0
1,0,0,13,1,0,0,2,3,0,3,1,0,0,0
1,0,0,13,1,0,0,2,1,0,2,1,0,0,0
0,1,0,15,0,0,0,1,3,0,1,0,0,0,0
0,0,0,14,1,0,0,2,3,0,3,3,0,0,0
0,0,0,14,0,0,0,0,3,0,3,3,0,1,1
0,0,0,14,0,0,0,0,3,0,4,2,0,1,0
0,0,0,15,1,0,0,0,3,0,3,4,0,0,0
0,0,0,14,0,0,2,0,2,0,3,3,0,0,0
0,0,0,14,1,0,0,2,3,0,3,4,0,0,0
0,0,0,14,1,0,0,2,2,2,0,0,0,0,0
0,0,0,14,0,0,0,0,3,1,3,0,0,1,0
0,0,0,15,1,0,1,2,3,1,3,3,0,0,0
1,0,0,14,0,1,0,2,0,0,4,2,0,0,0
0,0,0,14,0,0,2,0,2,2,0,0,0,0,0
0,0,0,13,0,0,0,2,3,2,1,0,0,0,0
0,0,0,14,1,0,0,2,3,0,3,0,0,0,0
1,1,0,15,0,0,0,0,3,0,2,1,0,1,1
0,0,0,14,0,0,0,0,2,0,1,2,0,1,1
0,1,1,15,1,0,0,3,3,0,3,2,0,0,0
0,1,1,14,0,0,0,0,3,0,3,2,0,1,0
0,0,0,15,0,0,0,0,3,0,4,2,0,1,0
0,0,1,14,0,0,0,1,3,0,3,2,0,1,0
0,0,0,14,0,0,0,1,3,0,4,0,0,0,0
1,1,0,15,1,0,0,3,2,0,3,4,0,1,0
1,0,0,15,1,0,1,3,3,0,4,0,0,1,0
1,0,0,15,1,0,0,3,3,0,4,3,0,0,0
1,1,1,15,1,0,2,3,0,1,1,0,0,0,0
1,1,1,15,1,2,0,4,0,0,1,1,0,0,0
1,0,0,15,1,0,0,2,3,0,3,1,0,0,0
0,1,0,15,0,2,1,1,3,3,3,4,0,0,0
0,0,0,15,1,0,0,3,2,0,2,1,0,1,0
0,0,0,15,0,0,1,4,0,0,1,0,0,0,0
0,0,0,15,0,0,0,0,3,0,3,0,0,1,1
0,0,0,15,0,0,0,1,3,0,4,1,0,0,0
1,0,0,15,1,0,0,0,3,0,2,4,0,0,0
0,0,0,15,1,2,3,2,3,0,3,3,0,1,0
1,1,0,15,1,3,2,2,2,0,2,4,0,0,0
0,1,0,15,0,2,3,2,3,0,3,0,0,0,0
1,0,0,16,0,0,0,2,2,0,0,4,0,0,0
1,0,0,15,1,0,0,2,3,0,2,1,0,0,0
0,0,0,15,1,0,0,2,3,3,3,2,0,0,0
0,0,0,15,1,0,0,1,3,0,3,3,0,1,1
1,0,1,16,1,0,0,2,3,0,3,1,0,1,1
1,1,1,15,0,0,0,1,1,0,3,2,0,0,0
1,0,1,15,1,0,0,2,3,0,3,1,0,0,0
0,1,1,15,1,3,3,2,3,1,1,0,0,1,0
0,0,0,16,1,0,0,2,3,0,2,4,0,1,0
1,1,1,16,0,0,0,0,2,0,2,0,0,0,0
0,0,1,16,1,0,0,2,3,0,4,0,0,1,1
0,0,0,16,1,0,0,2,1,1,3,1,0,0,0
0,1,0,17,1,0,0,0,3,0,4,4,0,0,0
0,0,0,16,0,0,0,0,3,0,3,0,0,0,0
0,1,1,16,0,0,0,1,2,0,3,3,0,0,0
0,1,1,16,1,0,0,1,3,1,3,4,0,0,0
0,1,1,17,0,7,0,2,3,1,4,1,0,1,0
0,0,0,17,0,0,0,1,3,0,3,2,0,0,0
0,0,0,17,0,0,0,0,3,0,4,1,0,0,0
1,1,1,16,0,0,0,2,3,0,4,0,0,1,1
1,1,1,16,0,7,6,2,2,1,3,2,0,0,0
1,0,0,16,1,1,1,2,2,2,2,2,0,0,0
0,0,0,14,1,0,0,2,3,0,2,0,0,1,0
0,0,0,13,1,0,0,2,3,0,3,0,0,0,0
1,0,0,13,0,0,1,1,3,1,2,1,0,0,0
0,0,1,13,1,0,0,0,3,0,3,2,0,0,0
